function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	9.48	6.619999999999999	11.29	13.13	17.709999999999994	15.86	17.150000000000002	12.15	11.68	11.81
1.1.1.136-RXN	0.37	0.0	0.0	0.44	0.39	0.0	0.36	0.0	0.38	0.41
1.1.1.215-RXN	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.261-RXN	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.1.1.271-RXN	3.03	3.2	6.5699999999999985	3.14	3.47	3.06	5.8900000000000015	5.949999999999998	4.0	2.47
1.1.1.39-RXN	5.57	3.42	4.72	7.29	6.7	7.6099999999999985	8.06	3.66	4.49	7.8199999999999985
1.1.1.83-RXN	0.0	0.5	0.13	0.0	0.0	1.0	0.0	0.0	0.0	1.0
1.1.99.25-RXN	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.99.28-RXN	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.10.2.2-RXN	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.11.1.15-RXN	13.36	12.89	14.54	7.77	14.160000000000002	18.85	18.87	15.27	14.85	9.97
1.12.1.3-RXN	14.189999999999998	5.64	13.43	12.0	7.44	21.2	16.79	8.65	10.57	18.009999999999994
1.13.11.15-RXN	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.15.1.2-RXN	3.55	3.42	5.59	5.71	5.3100000000000005	8.61	6.96	3.17	4.17	5.83
1.17.1.1-RXN	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	1.22	0.0
1.17.4.2-RXN	9.85	7.259999999999999	11.29	13.62	19.21	18.41	19.51	14.15	11.84	16.36
1.18.1.2-RXN	2.82	3.73	5.51	7.16	6.580000000000001	6.6099999999999985	6.96	3.51	5.72	5.36
1.2.1.2-RXN	0.0	0.27	1.36	4.25	0.78	1.0	0.64	0.98	2.68	1.62
1.2.1.27-RXN	0.0	0.5	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2.1.58-RXN	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
