function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	39.79	41.07	36.83	42.04	30.05	36.18	20.22	55.42000000000001	26.2	89.63
1.1.1.136-RXN	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.0	0.0
1.1.1.261-RXN	2.99	3.67	1.64	0.0	0.0	0.0	1.47	0.0	0.0	3.37
1.1.1.271-RXN	8.709999999999999	13.85	3.92	10.57	7.37	7.0	4.75	11.32	4.18	40.56999999999999
1.1.1.39-RXN	23.39	20.14	20.48	22.38	15.31	16.22	12.159999999999998	25.380000000000006	14.489999999999998	46.03
1.1.1.83-RXN	0.0	0.0	0.0	4.48	0.0	0.0	0.0	0.0	1.0	0.0
1.11.1.15-RXN	24.15	40.49	36.84	31.47	29.0	32.410000000000004	15.27	45.41	20.74	50.35
1.12.1.3-RXN	32.79	21.43	46.38	32.260000000000005	23.82	10.04	22.24	26.97	21.85	27.81
1.15.1.2-RXN	15.7	21.14	26.74	31.84	15.31	18.06	9.85	25.380000000000006	15.489999999999998	48.27
1.17.4.2-RXN	39.79	43.07	53.22000000000001	53.26	31.72	31.08	21.22	54.38000000000001	27.2	89.63
1.18.1.2-RXN	23.39	21.3	21.12	22.38	17.53	21.38	12.669999999999998	31.300000000000004	15.089999999999998	46.03
1.2.1.2-RXN	0.2	1.0	6.32	3.12	6.41	0.0	0.0	0.2	0.56	0.0
1.2.1.9-RXN	0.0	0.0	0.0	0.0	0.0	2.05	0.0	1.23	0.0	0.0
1.2.3.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.27	0.0	0.0
1.2.4.4-RXN	0.0	2.72	0.0	0.0	4.2	0.0	0.0	0.0	1.3	1.15
1.2.7.4-RXN	0.4	0.0	0.0	0.0	1.52	0.0	0.0	0.4	1.12	0.0
1.2.7.8-RXN	32.16	12.78	6.8	0.0	12.6	3.0	15.66	0.8	5.18	20.1
1.2.99.7-RXN	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.56	0.0
1.21.4.1-RXN	38.45	0.0	8.5	0.0	0.0	0.0	11.55	0.0	0.0	9.75
1.21.4.4-RXN	7.69	0.0	1.7	3.46	0.0	0.0	2.31	0.0	1.0	1.95
1.3.1.54-RXN	0.2	7.08	18.84	11.45	10.56	6.5	3.31	15.84	9.56	5.2700000000000005
1.3.1.9-RXN	23.39	26.74	24.890000000000004	23.87	21.26	26.04	12.669999999999998	31.300000000000004	15.739999999999998	48.32999999999999
1.3.99.5-RXN	0.0	3.88	0.64	0.0	3.85	5.16	0.51	5.92	0.6	1.15
1.4.1.11-RXN	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1.4.1.21-RXN	0.0	1.0	6.32	7.6	0.0	0.0	0.0	0.0	1.0	0.0
