seq	community_1	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9	community_10
Otu1	0	0	0	0	0	0	0	0	0	0
Otu2	0	0	0	6.29826693354278	0	0	0	1.95894730859483	0	0
Otu3	0	1.53908335215586	0	10.5609007861773	0	2.03526109523841	16.0058327152175	0	0	2.16142846765096
Otu4	0	0	0	0	0	1.00280524069607	2.2657757416918	0	0	0
Otu5	0	1.04952556834505	0	3.85867867117408	20.6534711015364	0	7.66641159475734	2.38231516053315	0	1.16278862427958
Otu6	0	0	0	0	0	0	0	0	1.14556165093558	2.72345591906621
Otu7	0	0	0	0	0	0	0	0	0	0
Otu8	0	0	0	0	0	0	0	0	0	0
Otu9	0	0	0	0	0	0	0	0	0	0
Otu10	0	0	0	5.66701680117231	0	0	15.6433030118967	3.73092187020324	0	0
Otu11	3.48085047183854	0	0	1.42161194536756	0	1.48338532686426	0	0	22.5149601656515	0
Otu12	0	0	0	0	0	0	0	0	0	0
Otu13	0	0	0	0	0	0	0	0	0	0
Otu14	1.23906012213172	0	5.80718539005062	0	0	1.290672736603	3.94017022271121	0	1	6.29985725129337
Otu15	0	0	0	1	0	0	0	0	0	1.30985859387407
Otu16	0	0	0	0	0	0	0	0	0	0
Otu17	0	0	0	0	0	0	0	0	0	0
Otu18	7.69117057496551	0	0	0	0	0	0	0	1.94885391337958	0
Otu19	0	0	0	0	0	0	0	0	0	0
Otu20	0	0	0	0	0	0	0	0	0	0
Otu21	1.0119428898706	0	0	0	0	0	1	2.81860430449931	0	0
Otu22	0	0	0	0	0	0	0	0	0	0
Otu23	1.78673513037905	0	2.21997070957875	0	1.06760243012411	0	0	0	0	0
Otu24	3.45785907941671	0	0	0	0	0	0	0	0	7.33301874315314
Otu25	0	0	0	0	0	0	0	0	0	0
Otu26	2.51837451502457	0	0	0	0	2.9425836394537	0	0	6.73612882385014	0
Otu27	0	0	0	0	0	0	0	0	0	2.04239851373658
Otu28	0	0	0	0	0	0	0	0	0	0
Otu29	0	0	0	0	0	0	0	0	0	0
Otu30	0	0	0	0	0	0	0	0	0	0
Otu31	0	0	0	0	0	1	0	0	0	0
Otu32	0	0	0	0	0	0	0	0	0	0
Otu33	0	0	0	0	0	0	0	0	0	0
Otu34	0	0	0	0	0	0	0	0	0	0
Otu35	0	0	0	0	0	1.42188036865864	0	0	0	0
Otu36	0	0	0	0	0	0	0	0	0	0
Otu37	2.76918816200323	0	0	0	1.49735190193471	0	0	0	0	0
Otu38	0	0	0	0	0	0	0	0	0	0
Otu39	0	6.32276794707146	3.11593990211054	0	0	0	0	0	0	1
Otu40	0	0	0	0	0	0	0	0	0	0
Otu41	0	0	0	0	0	1.45349100127956	1.86910102388153	0	0	3.09038432789528
Otu42	0	0	0	0	0	0	0	0	0	0
Otu43	0	0	0	0	0	0	0	0	0	0
Otu44	0	0	0	0	0	0	0	0	0	0
Otu45	0	0	0	0	0	0	0	0	0	0
Otu46	2.23118225775805	0	0	0	0	0	0	0	3.58483672841415	0
Otu47	0	0	0	0	0	0	0	0	0	0
Otu48	0	0	1.86035758009146	0	0	0	0	0	4.18673658445707	0
Otu49	0	3.76832385872635	1.49454471356498	0	2.26948416792783	0	0	0	0	0
Otu50	0	0	0	0	0	0	0	0	0	0
Otu51	0	0	0	0	0	0	0	0	0	0
Otu52	0	1.02153682879776	0	0	0	0	0	0	0	0
