seq	community_1	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9	community_10
Otu1	0	1.57330636363142	0	0	2988.03859667101	0	1157.7324303711	0	0	272.002363563578
Otu2	641.806373759283	0	589.121673688904	832.776025432537	1.2348434169163	0	5.88845616930223	50.8761014798034	200.955890682414	0
Otu3	0	0	0	0	0	0	0	0	0	0
Otu4	0	0	0	0	30.9799792320932	0	4757.44514071091	0	0	0
Otu5	0	450.606527689935	0	0	0	150.988399883358	0	257.68316804853	0	1092.02723853406
Otu6	0	232.486022831641	0	0	0	0	0	0	0	0
Otu7	0	6.41403682631992	0	0	0	0	0	0	0	0
Otu8	0	0	0	0	0	0	0	0	400.479546078959	0
Otu9	0	1.58128202033165	0	0	63.4963107869108	7.80389728339223	0	0	38.1136902627678	0
Otu10	0	0	0	0	0	8.20482168550804	0	0	0	0
Otu11	0	0	0	0	0	0	0	0	0	0
Otu12	0	0	0	0	0	0	0	0	0	0
Otu13	0	0	0	0	0	0	0	0	0	0
Otu14	0	0	0	0	0	0	0	0	0	0
Otu15	0	0	0	0	0	0	0	0	0	0
Otu16	0	0	0	0	0	0	0	0	0	0
Otu17	0	0	0	0	0	0	1.32910098931688	0	0	0
Otu18	0	0	0	0	0	0	0	0	0	0
Otu19	0	0	0	0	0	0	0	0	0	0
Otu20	0	0	0	0	0	0	0	0	0	0
Otu21	59.6727540852198	0	1.17071827964617	0	1.07195644056401	0	1.1003095596853	0	18.1835674731671	0
Otu22	0	0	0	0	0	0	0	0	0	0
Otu23	0	0	0	4.98714163023058	0	0	0	0	0	1.19816604026397
Otu24	0	0	0	0	0	193.262199739968	0	0	0	0
Otu25	0	0	0	0	0	0	0	0	0	0
Otu26	43.4467036778766	0	0	0	0	0	0	0	0	0
Otu27	0	0	0	0	0	0	0	0	0	0
Otu28	0	0	0	0	0	0	0	0	0	0
Otu29	0	1.42797590491147	0	0	0	0	0	0	0	1.04315029525986
Otu30	0	1.41371674923864	5.74367104419717	1.19447554350347	0	1.9890519219246	0	1.17736257629542	1.30254676288337	2.63673987741262
Otu31	0	0	0	0	0	0	0	0	0	0
Otu32	0	0	0	0	0	0	0	0	0	0
Otu33	0	0	0	0	0	0	0	0	0	0
Otu34	0	0	0	0	132.978275233762	0	0	0	0	0
Otu35	0	0	0	0	0	0	0	0	0	0
Otu36	0	0	15.6369631866886	0	0	0	0	0	0	0
Otu37	0	0	0	0	0	0	1.72534803659929	0	0	0
Otu38	0	0	0	0	0	0	0	0	0	0
Otu39	0	0	0	0	0	0	0	0	0	2.82732246956366
Otu40	0	0	0	0	0	0	0	0	0	0
Otu41	0	0	0	0	0	0	0	0	0	0
Otu42	0	0	0	0	0	0	0	0	0	0
Otu43	0	0	0	0	0	0	0	0	0	0
Otu44	0	0	0	0	0	0	0	0	0	0
Otu45	0	0	0	0	0	0	0	0	0	0
Otu46	1.67855559359842	0	0	0	23.95768102147	0	0	1.79445712216557	0	1
Otu47	0	0	0	0	0	0	0	0	0	0
Otu48	0	0	0	0	0	0	0	0	0	0
Otu49	0	0	0	0	0	0	0	0	0	0
Otu50	0	0	0	0	0	2.13897450186686	0	0	0	0
Otu51	0	0	0	0	0	0	0	0	0	0
Otu52	0	0	0	0	0	0	0	0	0	0
Otu53	0	0	0	0	0	0	0	0	0	0
Otu54	0	0	0	0	0	0	0	0	0	0
Otu55	0	0	0	0	0	0	0	0	0	0
Otu56	0	0	0	0	0	0	0	0	0	0
Otu57	0	0	0	0	0	0	0	0	0	0
Otu58	0	0	0	8.75202119708448	0	0	0	0	0	0
Otu59	1.37125240893972	0	0	0	0	0	0	0	0	0
