seq	community_1	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9	community_10
Otu1	0	0	0	0	0	0	0	0	0	0
Otu2	1.95791739718305	0	3.13582025925842	3.9089180285395	0	1.00191193397734	1.17006310576387	0	1.89692327572945	0
Otu3	0	0	0	0	0	0	0	0	0	0
Otu4	0	3.88616952757316	0	2.60115949084305	0	0	0	1.30956664174378	1.48439016867736	0
Otu5	0	0	0	2.3153368828959	0	1.00685386012206	1.80803917283521	1.3867837964766	1.45398030307036	0
Otu6	0	0	0	0	0	0	0	0	0	0
Otu7	1.42952692762898	0	2.50708283958579	2.17027840935896	0	3.1931100127654	1.55407398864265	0	1.02851871350035	0
Otu8	0	0	0	0	0	0	0	0	0	0
Otu9	0	1.00381264148314	1.96540134049256	1.22268634877874	0	0	0	0	0	0
Otu10	1.4734161248924	1.57132002536922	0	2.05097302697053	0	0	0	0	1.04271717186064	0
Otu11	1.39315055711739	0	0	1	0	1.57209925166749	0	0	1.92937910508028	1.90085452223051
Otu12	0	0	0	0	0	0	0	0	0	0
Otu13	0	0	0	0	0	0	0	0	0	0
Otu14	0	0	0	0	0	0	0	0	0	0
Otu15	0	0	0	0	0	0	0	0	0	0
Otu16	0	1	0	0	0	0	0	0	0	0
Otu17	0	0	0	0	0	0	0	0	0	0
Otu18	0	0	0	0	0	0	0	0	0	0
Otu19	0	0	0	0	0	0	0	0	0	0
Otu20	0	0	0	0	0	0	0	0	0	0
Otu21	1.06925954662466	0	0	0	0	0	0	0	0	0
Otu22	1.00388872541311	1.32411551954859	0	1.77022359638624	1.84142958944791	0	0	0	1.10527846885893	0
Otu23	0	0	0	0	0	1.00545473958597	0	1.03178970871749	0	0
Otu24	0	1.89361323358135	0	0	0	0	0	0	0	0
Otu25	1.43169651740269	0	0	0	3.04286023019891	1.0481448005559	0	0	0	1.21877536924957
Otu26	0	0	1.41522259619188	0	0	0	0	0	0	0
Otu27	0	1.15537832651846	0	1.0797126275705	0	0	0	2.44955880942694	1	0
Otu28	0	0	0	0	0	0	0	1.15748502708303	0	1.38288767394235
Otu29	0	0	0	0	0	0	0	0	0	0
Otu30	0	0	0	0	0	0	0	0	0	0
Otu31	0	0	0	0	0	0	0	0	0	0
Otu32	0	0	0	0	0	0	0	0	0	0
Otu33	0	0	0	0	0	1.05805027805348	1.61568362652866	0	0	0
Otu34	0	0	1.05553320669933	0	0	0	1.06922334313243	0	0	1
