function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	19.62	35.129999999999995	42.98	11.48	51.76000000000001	52.02	32.92999999999999	27.75	32.93	41.26
1.1.1.136-RXN	0.53	0.0	0.71	0.0	0.57	3.51	1.2	1.18	0.74	1.39
1.1.1.261-RXN	1.05	5.01	0.0	0.0	0.0	0.0	0.0	1.65	0.0	0.0
1.1.1.264-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42
1.1.1.271-RXN	1.87	12.47	2.54	2.66	1.84	0.92	5.77	4.22	0.85	10.16
1.1.1.39-RXN	10.37	17.38	30.98	10.14	24.910000000000004	31.9	19.74	19.68	17.680000000000003	24.45
1.1.1.83-RXN	2.23	6.24	0.0	0.0	0.0	0.0	3.16	0.0	3.84	4.59
1.11.1.15-RXN	15.010000000000002	45.11000000000001	24.46	21.12	21.66	35.45	21.380000000000006	29.43	34.57	28.39
1.12.1.3-RXN	13.93	72.91999999999999	40.42	21.66	29.610000000000007	21.99	40.05	9.85	40.83000000000001	29.73
1.13.11.49-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42
1.15.1.2-RXN	12.070000000000002	23.62	22.94	8.82	15.04	25.57	19.520000000000003	17.97	18.29	26.81
1.17.4.2-RXN	22.32	41.37	44.50000000000001	19.04	52.19000000000001	52.55	34.89	28.26	36.53	43.37
1.18.1.2-RXN	10.82	18.89	32.45	12.8	26.750000000000004	32.82	18.46	23.9	19.03	23.939999999999994
1.2.1.2-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.42
1.2.3.3-RXN	1.59	0.0	0.0	0.0	1.1	3.34	0.0	0.0	6.33	0.42
1.2.4.4-RXN	0.0	5.95	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.84
1.2.7.4-RXN	2.1	8.84	0.0	0.0	0.0	0.0	1.28	3.3	0.0	0.0
1.2.7.5-RXN	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0
1.2.7.8-RXN	2.12	30.76	23.28	5.28	20.880000000000006	19.68	16.48	7.199999999999998	10.94	8.36
1.21.4.1-RXN	2.6500000000000004	0.0	3.55	0.0	2.85	17.549999999999994	11.12	0.0	3.7	6.949999999999998
1.21.4.4-RXN	0.53	0.0	0.71	0.0	0.57	3.51	1.2	0.0	0.74	1.39
1.3.1.54-RXN	2.76	10.66	0.71	2.55	0.57	7.289999999999999	6.92	0.0	4.58	5.98
1.3.1.9-RXN	10.82	30.790000000000006	32.45	12.8	26.750000000000004	32.82	21.22	23.9	19.03	24.36
1.3.99.5-RXN	0.45	7.46	1.47	2.66	1.84	0.92	1.38	4.22	0.85	0.33
1.4.1.11-RXN	0.0	0.0	0.0	2.55	0.0	0.0	0.0	0.0	0.0	0.0
1.4.1.21-RXN	2.23	6.24	0.0	0.0	0.0	0.0	3.16	0.0	3.84	4.59
1.4.3.19-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42
1.5.1.20-RXN	7.82	23.37	17.47	7.35	26.750000000000004	16.07	18.94	9.76	9.48	18.54
1.5.1.28-RXN	2.23	6.24	0.0	0.0	0.0	1.47	3.16	0.0	3.84	5.01
1.5.1.7-RXN	4.87	19.32	4.36	6.3500000000000005	2.84	5.699999999999998	9.01	6.58	4.69	5.92
1.6.4.4-RXN	0.45	7.46	1.47	2.66	1.84	0.92	1.38	4.22	0.85	0.33
1.7.2.2-RXN	0.0	5.95	0.0	0.0	0.0	0.0	1.38	0.0	0.5	0.0
1.8.1.4-RXN	5.28	21.12	12.320000000000002	9.11	11.71	10.19	8.02	16.16	13.18	10.09
1.8.4.12-RXN	7.52	25.83	4.2799999999999985	9.11	2.94	5.73	7.7	13.509999999999998	19.62	12.87
1.8.4.8-RXN	0.0	4.42	7.33	0.0	9.3	2.82	0.9	1.0	2.99	0.42
1.8.5.2-RXN	0.0	5.95	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.42
1.8.98.1-RXN	1.59	0.0	24.12	0.0	29.610000000000007	18.99	6.3	3.0	11.19	4.17
1PFRUCTPHOSN-RXN	17.490000000000002	24.82	43.15	5.19	28.21	50.98	27.27	13.33	44.8	29.45
1TRANSKETO-RXN	49.39000000000001	91.35000000000002	99.01	32.68	102.57999999999998	113.11	90.14	67.38	79.53	107.94
2-DEHYDROPANTOATE-REDUCT-RXN	5.02	9.41	15.57	7.3199999999999985	24.910000000000004	15.62	11.31	12.94	4.79	15.000000000000002
2-ENOATE-REDUCTASE-RXN	0.0	4.42	7.33	0.0	9.3	2.82	3.46	1.0	2.99	0.0
2-HALOACID-DEHALOGENASE-RXN	3.25	6.24	1.23	3.95	0.0	5.25	3.16	10.47	3.84	6.55
2-ISOPROPYLMALATESYN-RXN	13.05	34.03	32.45	11.3	26.750000000000004	32.82	23.0	23.9	19.67	28.95
2-NITROPROPANE-DIOXYGENASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	2.23	6.24	0.0	0.0	0.0	0.0	3.16	0.0	3.84	4.59
