function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	1699.15	4347.440000000001	7471.170000000001	422.24	1092.54	20513.76	3102.6	34199.48	21466.08	2917.49
1.1.1.215-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
1.1.1.261-RXN	0.0	0.0	0.0	0.0	0.0	0.0	482.89	0.0	0.0	0.0
1.1.1.271-RXN	33.15	4337.67	0.26	360.25	352.26	18.62	484.36	1.55	1.45	334.08
1.1.1.39-RXN	1641.39	6.83	23.65	61.99	737.1400000000001	8971.58	3006.61	34173.3	21445.8	2581.83
1.1.1.83-RXN	3.48	0.0	0.0	0.0	0.0	0.0	95.5	0.0	0.0	0.0
1.1.99.28-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
1.10.2.2-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
1.11.1.15-RXN	4679.969999999998	13023.87	7475.910000000002	1117.38	1794.85	26964.61	2638.74	102542.31	21491.05	8712.59
1.12.1.3-RXN	4746.709999999999	7.16	37.79	160.57999999999996	2.21	9688.500000000002	2853.31	102513.51	16.78	7720.91
1.13.11.49-RXN	0.37	0.0	0.0	0.0	0.0	1.42	0.98	1.09	14.54	0.0
1.14.11.2-RXN	0.37	0.0	0.0	0.0	0.0	5.12	0.98	0.0	0.0	0.0
1.15.1.2-RXN	1623.57	3.98	24.22	61.99	736.07	3213.9800000000005	3099.17	34172.810000000005	21447.75	2581.59
1.17.1.1-RXN	0.0	1.47	8.48	0.0	0.0	0.0	0.0	10.43	1.1	0.0
1.17.4.2-RXN	1704.51	4343.120000000001	7463.26	422.24	1092.54	20510.68	3197.12	34188.470000000016	21452.39	2917.25
1.18.1.2-RXN	1620.34	4342.620000000001	21.06	388.21	1087.1899999999996	8974.73	2996.07	34185.020000000004	21462.97	2911.81
1.2.1.2-RXN	8.77	4.44	54.790000000000006	121.32	6.63	6.57	32.050000000000004	24.61	10.48	16.11
1.2.1.27-RXN	0.37	0.0	0.0	0.0	0.0	1.28	0.98	0.0	0.0	0.0
1.2.1.66-RXN	0.0	0.0	0.0	0.0	0.0	1.42	0.0	1.09	14.54	0.0
1.2.1.9-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
1.2.3.3-RXN	0.37	5.7	7428.87	0.0	1.0	1.28	0.98	0.34	0.28	0.48
1.2.4.4-RXN	0.74	0.0	0.0	2.93	0.0	21.18	1.96	1.29	1.2	0.0
1.2.7.4-RXN	22.44	0.0	0.0	0.0	0.0	0.0	965.78	0.0	0.0	0.0
1.2.7.5-RXN	22.44	2.94	16.96	0.0	0.0	0.0	0.0	20.86	2.2	0.0
1.2.7.8-RXN	101.32	2.0	50.44	186.3	8.84	47.0	1973.6	8.67	27.98	24.5
1.21.4.1-RXN	89.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.54-RXN	48.36	0.0	0.0	0.0	1.07	5760.2	578.39	1.0	0.0	0.0
1.3.1.9-RXN	1620.71	4347.440000000001	41.58000000000001	425.17	1089.4	9012.7	3006.12	34197.68	21452.74	2915.91
1.3.99.16-RXN	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	0.0
1.3.99.5-RXN	0.25	4337.67	0.26	360.25	352.26	18.62	1.47	1.55	1.45	334.08
1.4.1.21-RXN	3.48	2.94	16.96	0.0	0.0	0.0	95.5	20.86	2.2	0.0
1.4.3.19-RXN	0.37	0.0	0.0	0.0	0.0	1.42	0.98	1.09	14.54	0.0
1.5.1.20-RXN	82.78999999999998	4338.17	13.16	419.37	355.54	5785.17	591.8100000000002	4.21	16.66	344.05
1.5.1.28-RXN	3.48	0.0	0.0	0.0	0.0	0.0	95.5	0.0	0.0	0.0
1.5.1.34-RXN	0.0	1.47	8.48	0.0	0.0	0.0	0.0	10.43	1.1	0.0
1.5.1.7-RXN	27.450000000000006	4337.67	0.26	388.27	352.26	22.68	582.74	1.55	1.45	338.61
1.5.5.1-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
1.6.4.4-RXN	0.25	4339.14	8.74	360.25	352.26	18.62	1.47	11.98	2.55	334.08
1.7.2.2-RXN	2.25	0.5	12.61	34.03	2.21	20.81	9.07	2.54	3.96	3.86
1.7.2.3-RXN	0.0	2.94	16.96	0.0	0.0	0.0	0.0	20.86	2.2	0.0
1.8.1.15-RXN	0.0	0.0	0.0	0.0	0.0	1.42	0.0	1.09	14.54	0.0
1.8.1.4-RXN	1544.61	4341.3600000000015	17.37	394.07000000000005	352.26	3249.4500000000007	114.88	34184.05	23.46	2904.92
1.8.4.12-RXN	1547.35	4342.740000000002	7437.620000000001	391.14	354.33	8989.33	691.3100000000002	34173.5	21.3	2905.16
1.8.4.8-RXN	0.37	0.0	0.0	0.0	0.0	2.28	483.87	1.09	14.54	0.0
1.8.5.2-RXN	0.74	2.85	0.14	2.93	0.0	18.62	1.96	1.46	1.34	0.24
13-PROPANEDIOL-DEHYDROGENASE-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
1PFRUCTPHOSN-RXN	1644.13	7.59	22299.5	30.89	1471.79	8976.39	5492.32	34174.6	42883.95	2583.28
