function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	21.55	22.76	28.18	20.6	25.26	31.12	20.51	24.42	17.310000000000002	16.93
1.1.1.136-RXN	1.0	0.0	0.0	1.67	0.0	0.0	1.04	0.0	0.0	0.0
1.1.1.261-RXN	3.35	2.9	2.47	4.2	5.45	0.0	2.5700000000000003	3.24	1.72	4.33
1.1.1.271-RXN	6.449999999999998	6.13	6.0	7.38	9.63	10.22	6.879999999999999	4.4	4.19	4.91
1.1.1.39-RXN	11.49	13.580000000000002	10.85	10.99	10.98	16.48	12.57	13.76	9.89	9.5
1.1.1.83-RXN	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.11.1.15-RXN	14.98	9.81	28.89	20.9	27.84	16.68	15.05	19.65	15.670000000000002	18.180000000000003
1.12.1.3-RXN	25.540000000000006	23.19	37.8	23.61	43.69000000000001	10.93	21.93	8.94	25.7	34.57000000000001
1.15.1.2-RXN	10.1	12.31	11.85	8.82	7.659999999999998	15.29	8.99	11.95	6.34	5.07
1.17.4.2-RXN	19.01	25.440000000000005	26.12	21.69	23.21	31.12	20.51	25.68	17.310000000000002	15.89
1.18.1.2-RXN	11.49	13.580000000000002	16.63	10.99	13.58	16.48	12.57	13.76	11.2	10.98
1.2.1.2-RXN	0.0	1.34	0.0	1.0	0.0	0.0	1.0	0.0	1.32	1.05
1.2.1.9-RXN	1.07	0.0	1.89	1.0	0.0	0.0	1.0	0.0	1.32	1.05
1.2.4.4-RXN	1.96	0.0	4.55	4.46	7.33	0.0	1.0	1.17	1.31	3.38
1.2.7.4-RXN	0.0	2.0	0.0	3.12	0.0	0.0	1.0	4.1400000000000015	1.32	1.05
1.2.7.8-RXN	13.48	14.02	11.58	14.3	33.18	8.44	14.4	11.98	16.0	26.28
1.21.4.1-RXN	0.0	0.0	0.0	5.85	0.0	5.949999999999998	0.0	0.0	0.0	0.0
1.21.4.4-RXN	0.0	0.0	0.0	1.17	0.0	1.19	0.0	0.0	0.0	0.0
1.3.1.54-RXN	1.39	3.24	1.0	3.26	1.0	7.439999999999999	3.63	5.449999999999998	2.4000000000000004	2.98
1.3.1.9-RXN	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
1.3.99.5-RXN	1.96	0.0	3.89	3.14	6.51	0.0	1.0	1.17	1.31	3.38
1.4.1.21-RXN	1.96	1.34	4.8900000000000015	3.14	6.51	0.0	1.0	1.17	1.31	3.38
1.5.1.20-RXN	13.37	16.82	11.61	13.37	16.849999999999998	16.48	15.14	14.93	11.2	13.77
1.5.1.28-RXN	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.1.34-RXN	0.0	0.0	0.33	0.66	0.41	0.0	0.0	0.0	0.0	0.0
1.5.1.7-RXN	6.8900000000000015	6.74	11.8	6.950000000000001	15.19	5.07	5.6400000000000015	10.5	6.45	9.96
1.6.4.4-RXN	3.92	0.0	8.11	6.94	13.43	0.0	2.0	2.34	2.62	6.76
1.7.2.2-RXN	5.88	0.0	7.78	9.42	16.93	0.0	3.0	3.51	2.62	8.66
1.8.1.4-RXN	3.92	5.73	9.11	11.59	13.43	1.19	4.01	4.41	5.8100000000000005	9.2
1.8.4.12-RXN	3.03	1.34	13.89	6.2200000000000015	9.52	0.0	3.01	1.17	4.9700000000000015	7.299999999999999
1.8.4.8-RXN	1.39	2.61	0.33	0.66	1.41	0.0	1.57	0.0	0.84	1.93
1.8.5.2-RXN	0.0	0.0	11.67	0.0	7.800000000000002	0.0	0.0	0.0	3.93	4.44
1.8.98.1-RXN	4.17	7.829999999999999	0.0	0.0	9.96	0.0	7.74	5.43	6.69	10.14
1PFRUCTPHOSN-RXN	11.49	14.920000000000002	15.54	10.66	10.98	16.48	11.56	13.82	8.86	8.11
1TRANSKETO-RXN	36.59	45.52	37.13	42.16	31.17	62.24	42.1	47.67	27.250000000000004	23.4
2-DEHYDROPANTOATE-REDUCT-RXN	8.99	10.52	14.26	12.03	13.74	11.62	9.95	11.86	8.05	9.37
2-ENOATE-REDUCTASE-RXN	0.0	0.71	1.89	0.0	0.0	0.0	0.0	0.0	0.84	0.0
2-HALOACID-DEHALOGENASE-RXN	1.0	1.34	2.89	3.09	0.0	3.23	2.1	4.19	1.08	0.0
2-ISOPROPYLMALATESYN-RXN	13.45	13.580000000000002	17.89	16.45	18.31	16.48	14.57	14.93	12.52	13.929999999999998
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	1.96	0.0	8.11	3.8	9.52	0.0	1.0	1.17	2.62	4.8599999999999985
2-OXOBUTYRATE-SYNTHASE-RXN	27.78	30.15	19.9	19.460000000000004	25.69	23.68	25.73	19.42	20.88	23.13
2-OXOGLUTARATE-SYNTHASE-RXN	21.32	17.6	43.49	28.52	66.53999999999999	7.36	24.36	14.26	29.53	43.92
2.1.1.130-RXN	2.46	4.24	12.16	4.32	6.2	7.439999999999999	3.63	7.52	5.0200000000000005	5.94
2.1.1.131-RXN	3.93	4.24	8.33	4.74	3.59	7.439999999999999	5.28	8.719999999999999	3.83	4.8599999999999985
2.1.1.132-RXN	5.32	7.48	12.8	4.74	7.73	10.67	7.91	11.71	7.939999999999999	8.770000000000001
2.1.1.133-RXN	3.93	4.24	8.33	5.74	3.59	7.439999999999999	6.28	8.719999999999999	5.15	5.909999999999998
2.1.1.151-RXN	2.46	4.24	12.16	4.32	6.2	7.439999999999999	3.63	7.52	5.0200000000000005	5.94
2.1.1.63-RXN	11.8	14.920000000000002	14.59	16.84	19.76	16.48	14.57	14.84	11.2	13.74
2.1.1.64-RXN	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.1.1.72-RXN	74.26	64.05	40.00000000000001	80.05000000000003	91.98	68.49000000000001	67.11000000000001	60.40000000000001	56.05	64.21
2.1.1.74-RXN	4.46	4.4	3.12	4.18	6.22	1.84	4.63	4.2700000000000005	3.77	5.88
2.1.1.79-RXN	0.0	2.34	1.0	1.06	0.0	3.23	1.06	6.26	1.08	0.0
2.3.1.128-RXN	26.15	36.17	25.79	18.05	24.42	31.77	28.81	25.06	17.220000000000002	22.9
2.3.1.157-RXN	4.46	4.4	3.12	4.09	6.22	1.84	5.63	3.01	5.09	6.93
2.3.1.179-RXN	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
2.3.1.180-RXN	14.34	13.580000000000002	20.85	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
2.3.1.41-RXN	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
2.4.1.129-RXN	9.1	7.84	9.84	9.99	4.22	11.409999999999998	7.93	7.76	3.03	3.46
2.4.1.144-RXN	4.489999999999998	6.13	1.7799999999999998	3.58	2.71	7.199999999999998	5.88	3.23	2.88	1.53
2.4.1.208-RXN	0.0	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.4.1.211-RXN	4.489999999999998	9.18	2.78	5.81	2.71	14.64	6.94	10.69	4.8	1.53
2.4.1.212-RXN	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.4.1.230-RXN	0.0	2.68	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.4.1.83-RXN	12.409999999999998	14.6	17.22	12.36	18.64	20.65	13.18	13.89	10.37	10.99
2.5.1.19-RXN	13.45	13.580000000000002	15.07	14.79	17.900000000000006	16.48	13.57	14.93	11.2	12.88
2.5.1.39-RXN	0.0	0.0	2.22	1.66	0.41	0.0	1.0	0.0	1.32	1.05
2.5.1.64-RXN	1.96	0.0	4.22	3.8	6.92	0.0	1.0	1.17	1.31	3.38
2.6.1.37-RXN	0.0	0.0	4.47	0.0	3.14	0.0	0.0	0.0	3.03	1.98
2.7.1.148-RXN	13.45	13.580000000000002	15.07	14.79	17.900000000000006	16.48	13.57	14.93	11.2	12.88
2.7.1.156-RXN	5.32	6.14	13.55	6.4	9.92	10.67	9.920000000000002	14.72	8.93	10.77
2.7.1.69-RXN	6.56	24.08	4.09	15.1	2.17	15.829999999999998	8.98	15.79	7.760000000000002	2.08
2.7.1.90-RXN	1.96	0.0	3.89	3.14	6.51	0.0	1.0	1.17	1.31	3.38
2.7.13.3-RXN	87.24999999999999	103.7	107.77	115.16	84.46000000000002	152.57000000000005	103.47	121.62	81.53	64.28999999999999
2.7.3.9-RXN	13.17	15.18	18.17	14.13	13.29	22.53	11.03	17.03	10.21	7.29
2.7.7.1-RXN	0.0	0.71	0.0	1.17	0.0	1.19	0.0	0.0	0.84	0.0
2.7.7.13-RXN	12.66	9.93	7.9	12.18	20.32	7.199999999999998	14.04	8.58	7.9300000000000015	15.6
2.7.7.15-RXN	0.0	0.0	3.89	0.0	2.6	0.0	0.0	0.0	1.31	1.48
2.7.7.33-RXN	6.449999999999998	7.47	6.670000000000001	6.72	9.22	16.47	7.939999999999999	8.59	5.27	4.91
2.7.7.39-RXN	0.0	0.0	7.67	0.0	4.92	0.0	1.01	1.81	2.7	2.93
2.7.7.60-RXN	22.47	23.03	18.85	20.040000000000006	23.93	29.93	24.13	24.160000000000004	18.23	17.790000000000006
2.7.7.61-RXN	0.0	0.0	2.0	0.0	0.0	3.23	1.06	5.39	1.08	0.0
2.7.7.8-RXN	13.45	13.580000000000002	15.07	14.79	17.900000000000006	16.48	13.57	14.93	11.2	12.88
2.7.8.12-RXN	2.39	2.9	7.67	2.73	1.0	3.23	3.67	6.26	1.08	1.93
2.7.8.25-RXN	0.0	0.0	2.0	0.0	0.0	3.23	1.06	5.39	1.08	0.0
2.7.9.3-RXN	1.07	3.05	6.18	4.74	0.0	4.42	2.0700000000000003	8.719999999999999	2.95	1.39
